,acc,loss,lr,test accuracy,test loss,val_acc,val_loss
0,0.65390625,0.628498470026534,9.999999747378752e-05,0.845,0.4229634567350149,0.8,0.45697646965272726
1,0.70859375,0.5803124972997467,9.999999747378752e-05,0.835,0.4340670491755009,0.85625,0.38297461257316173
2,0.7265625,0.5631825152837336,9.999999747378752e-05,0.555,0.9296135601727292,0.4625,0.9253231020877137
3,0.775,0.5146091145850733,9.999999747378752e-05,0.835,0.4698491769397515,0.8375,0.551018491000832
4,0.78125,0.5070158517970412,9.999999747378752e-05,0.785,0.49887427921989,0.6875,0.569624262326397
5,0.78515625,0.46719541498805484,9.999999747378752e-05,0.845,0.51200651055653,0.84375,0.33584659325060784
6,0.81171875,0.4755434098640762,9.999999747378752e-05,0.88,0.5298987866253007,0.89375,0.6229385426354577
7,0.7859375,0.5117452629483523,9.999999747378752e-05,0.885,0.3783056869840948,0.9,0.37724031565348926
8,0.78125,0.4739710941236126,9.999999747378752e-05,0.805,0.7189141000701238,0.75625,0.5447268501269036
9,0.796875,0.47306456344681463,9.999999747378752e-05,0.86,0.6208398227052385,0.9,0.3589332878819732
10,0.7796875,0.468733240639267,9.999999747378752e-05,0.82,0.5660249486423709,0.85625,0.5364099857781184
11,0.828125,0.41110187881257615,4.999999873689376e-05,0.87,0.6420557245593596,0.91875,0.5711989348025555
12,0.8375,0.39578957735811854,4.999999873689376e-05,0.825,0.8064801371915155,0.85,0.3573613037276232
13,0.853125,0.3721691128204611,4.999999873689376e-05,0.825,0.9945481130982127,0.8625,0.49836775447261117
14,0.859375,0.36505632064299787,4.999999873689376e-05,0.88,0.7000003915025304,0.91875,0.3438793812286981
15,0.84921875,0.38930277433362337,4.999999873689376e-05,0.86,0.6768989297718201,0.8875,0.702947949869084
16,0.859375,0.35263649539469955,2.499999936844688e-05,0.865,0.837176462085828,0.88125,0.4473774912980602
17,0.83671875,0.370429134919209,2.499999936844688e-05,0.84,0.6224650741604815,0.90625,0.5392263160763378
18,0.88828125,0.29557020980947685,2.499999936844688e-05,0.855,0.7394702425414585,0.93125,0.31794939217270707
19,0.8921875,0.2795070054731298,2.499999936844688e-05,0.835,0.720113527314819,0.90625,0.20051546123163674
20,0.8765625,0.30299898718261603,2.499999936844688e-05,0.85,0.7741244592238068,0.90625,0.5152298986731475
21,0.89921875,0.2688651757811641,2.499999936844688e-05,0.865,0.6987209809124468,0.91875,0.40195642375017665
22,0.88359375,0.27566154445640445,2.499999936844688e-05,0.87,0.7271929185476502,0.875,0.2868674289924128
23,0.8890625,0.27947449008494446,2.499999936844688e-05,0.88,0.7220095617749774,0.89375,0.9244293222150317
24,0.884375,0.28916259292566904,2.499999936844688e-05,0.89,0.8219689577413116,0.9125,0.6499926353308693
25,0.90078125,0.2606161100909531,1.249999968422344e-05,0.865,0.8401218839539497,0.9,0.5022125956637377
26,0.915625,0.23518742145768384,1.249999968422344e-05,0.865,0.8803631140227517,0.925,0.3896032612015487
27,0.9046875,0.23767020811402623,1.249999968422344e-05,0.875,0.7568330459612372,0.9125,0.3821533807784183
28,0.90234375,0.24311015922525464,1.249999968422344e-05,0.875,0.8343652631862549,0.94375,0.49931025909753757
29,0.9140625,0.24354507833944625,1.249999968422344e-05,0.89,0.756587501940287,0.925,0.5791990106399778
30,0.909375,0.22386080060077376,6.24999984211172e-06,0.875,0.7665939102946113,0.94375,0.5765175205072139
31,0.9265625,0.20265535428789846,6.24999984211172e-06,0.89,0.7438882400382123,0.925,0.4760127097493411
32,0.921875,0.23669615720451417,6.24999984211172e-06,0.885,0.7169637572121665,0.94375,0.34957201581222214
33,0.921875,0.2000237230590624,6.24999984211172e-06,0.885,0.7830563173479035,0.9,0.5670125462474628
34,0.9328125,0.20470205899601163,6.24999984211172e-06,0.875,0.7917592332885769,0.8875,0.8491452741297953
